Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X)
25-0901,276,11.33,64,725.12,B1L6M23,"B1, STOR","630, C624",BED / STOR,B1L6M23,"C2, STOR","627, C625",BED / BA / STOR,,,,,,
25-0902,277,11.33,61,691.13,B1L3M34,"B1-C, STOR","324, C319",BED / STOR,B1L2M34,B1-C,"224, C219",BED / STOR,,,,,,
25-0903,278,11.33,64,725.12,B1L2M24,B1,230,LIV / KIT,B1L2M24,C2,227,LIV / KIT,,,,,,
25-0904,279,11.33,57,645.81,B1L2M29,B1,"226, C220",BED / STOR,B1L2M29,B1-M,"223, C221",BED / STOR,,,X,,,
25-0905,280,11.33,64,725.12,B1L3M24,B1,330,LIV / KIT,B1L3M24,C2,327,LIV / KIT,,,,,,
25-0906,281,13.33,38.33,510.9389,B1L2M20,S1,234,STUDIO,B1L2M20,S1,234,STUDIO,,,,X,x,x
25-0907,282,11.33,64,725.12,B1L4M24,B1,430,LIV / KIT,B1L4M24,C2,427,LIV / KIT,,,,,,
25-0908,283,11.33,64,725.12,B1L5M24,B1,530,LIV / KIT,B1L5M24,C2,527,LIV / KIT,,,,,,
25-0909,284,11.33,61,691.13,B1L6M36,A1-M,622,LIV / KIT,B1L6M36,A1-M,622,LIV / KIT,X,,,X,,
25-0910,285,11.33,64,725.12,B1L6M24,B1,630,LIV / KIT,B1L6M24,C2,627,LIV / KIT,,,,,,
25-0911,286,11.33,61,691.13,B1L5M34,B1-C,"524, C519",BED / STOR,B1L4M34,"B1-C, STOR","424, C419",BED / STOR,,,,,,
25-0912,287,11.33,64.83,734.5239,B1L2M25,B1,230,BED / BA,B1L2M25,C2,227,BED / BA / BED,,,,,,
25-0913,288,13.33,38.33,510.9389,B1L3M20,S1,334,STUDIO,B1L3M20,S1,334,STUDIO,,,,X,x,x
25-0914,289,11.33,56.33,638.2189,B1L4M22,LAUNDRY 2,C426,COMMON,B1L4M22,STOR / ELEC. 2,"C428, C427",COMMON,,,,,,
25-0915,290,13.33,38.33,510.9389,B1L3M19,S1-M,336,STUDIO,B1L3M19,S1-M,336,STUDIO,,,,X,x,x
25-0916,291,11.33,57,645.81,B1L3M29,B1,"326, C320",BED / STOR,B1L3M29,B1-M,"323, C321",BED / STOR,,,X,,,
25-0917,292,11.33,64.83,734.5239,B1L3M25,B1,330,BED / BA,B1L3M25,C2,327,BED / BA / BED,,,,,,
